team1_win,team1_kills,team1_gold,team1_towers,team1_dragons,team1_barons,team2_kills,team2_gold,team2_towers,team2_dragons,team2_barons,kill_diff,gold_diff,tower_diff,dragon_diff,baron_diff,gold_ratio,kill_ratio,objective_score_diff,games_count,game_duration,total_kills,total_gold,first_blood,first_tower,first_dragon,elder_dragons,herald_kills,avg_kills_per_min,gold_per_min_diff,vision_score_diff,cs_diff_15,gold_diff_15,team1_ad_count,team1_ap_count,team1_tank_count,team2_ad_count,team2_ap_count,team2_tank_count,early_game_lead,mid_game_lead,late_game_scaling,tournament_encoded,team1_side_blue,patch_major,patch_minor
1,12,28187,9,3,0,11,31711,10,2,0,1,-3524,-1,1,0,0.4705833249858092,0.5217391304347826,1,5,45,23,59898,0,1,1,2,2,0.6454581936743907,-128.0833736580808,-2,19,-1279,1,3,1,2,1,2,0.19408495206993504,0.8031477275161141,0.35530268738379833,2,0,14.0,5.0
1,19,32743,10,4,2,16,27064,8,3,1,3,5679,2,1,1,0.5474777199993311,0.5428571428571428,7,4,31,35,59807,1,0,0,0,1,1.075676792334504,165.0143171420086,63,19,855,1,3,2,1,3,2,0.7250495951308717,0.08542569398374877,0.5948005575584063,2,0,14.0,10.0
1,28,34103,10,4,2,9,32351,10,2,1,19,1752,0,2,1,0.5131820507418665,0.7567567567567568,7,4,25,37,66454,1,1,1,1,0,1.0534799057281932,66.37846359107056,-70,3,-1991,2,2,1,2,3,1,-0.5591316446668837,-0.891700194567796,0.126702441274386,1,1,14.0,15.0
1,15,43275,9,2,1,12,34817,5,3,0,3,8458,4,-1,1,0.5541540746811453,0.5555555555555556,5,3,40,27,78092,1,1,0,1,2,0.8565989890503134,279.96452078788604,-43,15,-1777,3,2,1,1,1,1,-0.8249468509931812,-0.7101424445657607,0.6653353662874624,3,0,14.0,20.0
0,12,25981,7,3,2,8,33819,7,2,2,4,-7838,0,1,0,0.43446488294314384,0.6,2,4,25,20,59800,1,0,0,0,2,0.7749699052497622,-259.5850873265439,-52,-12,-416,2,2,0,2,1,0,-0.17384721715385543,0.9752628971824988,0.9860242265713575,1,1,14.0,14.0
0,8,33139,9,2,1,22,37086,11,2,0,-14,-3947,-2,0,1,0.4718974724101104,0.26666666666666666,1,5,35,30,70225,0,0,1,0,1,0.8504284740275496,-143.57233867898282,49,6,1197,1,2,1,3,1,2,-0.37106225037813023,0.35891343463321945,-0.15902194521907487,3,0,14.0,23.0
1,15,31312,8,4,1,9,38307,7,3,1,6,-6995,1,1,0,0.4497622775391775,0.625,3,4,27,24,69619,0,0,1,0,2,0.7890511351223062,-268.37800417808177,-29,23,-147,1,3,0,1,2,0,0.2622971634610136,0.8742586022731207,-0.8882770927180503,2,0,14.0,2.0
0,8,22087,6,3,2,15,38244,11,3,1,-7,-16157,-5,0,1,0.3660970313769041,0.34782608695652173,-2,4,40,23,60331,0,0,0,1,1,1.0668082925258466,-527.586119725231,-70,34,1591,1,2,2,1,2,0,0.04276221688046866,0.5304429184264152,-0.11646822731926965,1,0,14.0,8.0
0,9,33366,8,2,1,12,31548,8,4,1,-3,1818,0,-2,0,0.5140031426194658,0.42857142857142855,-4,5,34,21,64914,1,1,1,2,0,0.7337178031470679,52.71769577603051,16,21,221,3,1,2,3,2,0,0.8050334841579057,0.9301554986620624,0.3440322654169339,5,1,14.0,14.0
1,13,32122,7,4,1,19,38323,6,1,1,-6,-6201,1,3,0,0.45598694016608704,0.40625,7,4,33,32,70445,0,0,1,1,2,1.0216475782919574,-181.6060214201624,97,-40,1226,2,1,2,1,1,2,0.33283544524809905,-0.034021968669156966,0.5176760240046419,1,0,14.0,16.0
0,10,34886,7,3,1,22,32691,11,3,1,-12,2195,-4,0,0,0.516240732793702,0.3125,-4,4,39,32,67577,1,0,1,0,2,1.3890284506843606,86.60125931844436,-60,39,1308,2,3,1,1,1,1,-0.2799382595305162,0.8759938348690417,0.7932888850225959,1,0,14.0,20.0
1,7,38367,8,2,1,3,31208,8,3,1,4,7159,0,-1,0,0.5514480776140855,0.7,-2,4,28,10,69575,0,0,1,1,1,0.27642350435346763,268.2611577131907,5,-23,110,3,1,2,3,3,1,-0.15464810574112176,-6.513445595524026e-05,0.2687108498292663,2,1,14.0,11.0
0,17,27896,4,1,1,15,29154,10,4,1,2,-1258,-6,-3,0,0.4889745836985101,0.53125,-12,4,43,32,57050,0,0,1,1,1,0.9051882367475748,-37.53451691488819,88,44,817,1,3,2,1,3,2,0.3304654216404044,0.28482497139732255,0.7162123985202462,1,1,14.0,23.0
0,20,29804,7,4,1,17,27902,11,4,1,3,1902,-4,0,0,0.5164800887256091,0.5405405405405406,-4,5,40,37,57706,0,1,1,0,1,1.1451528026657158,66.08671386220922,20,31,930,2,3,0,2,2,2,0.7357298504801235,0.7099747619962051,-0.49302864273990576,1,0,14.0,6.0
0,10,32254,8,3,1,16,33867,6,3,1,-6,-1613,2,0,0,0.487802664811482,0.38461538461538464,2,4,33,26,66121,0,0,1,1,2,0.7662391913918044,-58.135193689192185,64,39,-528,1,3,0,3,1,0,-0.558212127641688,0.5734814518527398,0.8555108570428749,4,1,14.0,2.0
1,10,32387,8,2,1,10,30633,10,1,1,0,1754,-2,1,0,0.5139162170739447,0.5,0,4,24,20,63020,0,1,1,0,1,0.8170136118187855,69.6763694555559,50,13,129,1,3,2,1,2,0,0.603840132451529,0.1430910632306166,-0.18452466867599093,2,1,14.0,2.0
0,9,20579,7,3,1,15,32424,9,3,1,-6,-11845,-2,0,0,0.38826104182782106,0.375,-2,3,44,24,53003,0,0,1,1,0,1.0398135751708577,-413.601011798926,20,-43,1757,3,3,2,2,2,2,0.6343631853442044,0.7087609170156548,0.6145141411930277,6,0,14.0,13.0
1,17,27108,8,4,0,7,39305,9,3,1,10,-12197,-1,1,-1,0.4081730986403264,0.7083333333333334,-2,4,31,24,66413,1,0,1,0,0,0.732981523324227,-376.6433029360372,18,24,1800,1,1,0,1,3,2,-0.6389211330846265,-0.47788580991387675,-0.5730836527264103,1,0,14.0,14.0
0,13,29607,8,3,0,10,38303,9,1,1,3,-8696,-1,2,-1,0.4359740833456045,0.5652173913043478,0,4,38,23,67910,0,0,1,1,1,1.0308243689811212,-305.46718910019376,-91,2,-1407,1,3,0,1,2,2,-0.6183423184162604,-0.30770391773363714,0.8507002651312747,2,1,14.0,4.0
0,9,40173,6,1,1,16,35022,6,2,1,-7,5151,0,-1,0,0.5342509475364053,0.36,-2,3,20,25,75195,0,1,0,1,2,0.7128573533517625,191.32820533299184,-44,-45,-783,1,3,0,2,2,0,-0.8272633873128259,-0.11255157541240579,-0.793768203744341,1,0,14.0,4.0
1,16,37794,8,3,1,21,26498,6,3,1,-5,11296,2,0,0,0.5878491880793878,0.43243243243243246,2,3,40,37,64292,1,1,0,0,1,1.289721055889507,362.8798206996389,74,10,1808,1,3,0,1,2,0,0.9691211094171226,-0.8219848034384165,-0.3693757593019533,4,0,14.0,21.0
1,13,31763,10,4,0,8,32101,3,1,1,5,-338,7,3,-1,0.49735375172241014,0.6190476190476191,10,3,29,21,63864,0,0,0,0,0,0.9681620188682093,-12.899454361572483,6,-15,191,2,3,1,2,2,2,0.6902346564154913,-0.5433352704584382,-0.8056856549383205,3,0,14.0,16.0
0,14,32195,5,2,1,20,30952,10,4,2,-6,1243,-5,-2,-1,0.509842114431406,0.4117647058823529,-12,4,44,34,63147,0,1,0,2,2,1.2337527068927463,42.658533576623725,-74,12,-1910,2,3,0,2,2,2,-0.4749143837266685,-0.9398350760763885,-0.49900569521253435,6,0,14.0,15.0
1,14,33198,8,3,1,13,30736,7,3,1,1,2462,1,0,0,0.519254230925642,0.5185185185185185,1,4,35,27,63934,0,0,1,2,2,0.754509790702135,82.87266489720446,-4,-25,925,1,1,2,1,2,1,-0.29507964260093966,0.08812787268074618,0.6224455248901772,2,1,14.0,3.0
1,16,34591,11,2,1,11,31225,8,2,1,5,3366,3,0,0,0.5255712896560107,0.5925925925925926,3,3,22,27,65816,1,0,0,1,1,0.95203208271854,102.572869922087,-4,24,292,3,2,1,3,3,0,-0.146433052708965,-0.24242903892932244,-0.986127610611655,2,0,14.0,8.0
1,8,36190,11,2,2,12,23367,6,3,1,-4,12823,5,-1,1,0.6076531725909633,0.4,6,3,45,20,59557,0,1,0,1,2,0.8276893169274092,495.9629655705676,98,-17,-536,2,3,0,2,1,0,-0.2069230160460378,0.6860549378413741,0.6287954440360772,5,0,14.0,3.0
0,11,32402,9,2,1,10,25712,6,4,1,1,6690,3,-2,0,0.5575592800357917,0.5238095238095238,-1,5,24,21,58114,0,0,1,0,2,0.6321318862955194,194.40332104981712,-64,42,34,3,1,2,2,1,2,0.5575614758797638,0.02218147311465324,0.1788731617544168,2,0,14.0,7.0
0,16,26362,6,2,2,11,30380,11,4,1,5,-4018,-5,-2,1,0.46459412780656306,0.5925925925925926,-6,3,45,27,56742,1,0,0,2,1,0.8179312764487425,-132.00688071607073,68,39,111,2,1,2,3,3,1,-0.4687293986653478,0.660710009023765,-0.9074289369634245,5,1,14.0,17.0
0,9,34504,8,3,1,12,33400,7,4,1,-3,1104,1,-1,0,0.508129123468426,0.42857142857142855,-1,5,30,21,67904,1,1,1,2,2,0.6917806440802402,40.077535070196184,-11,35,-171,1,1,1,1,1,1,-0.7767612005969828,0.3582019670796397,0.919273141166244,2,1,14.0,22.0
0,9,27619,7,3,2,13,40903,9,4,0,-4,-13284,-2,-1,2,0.40306762791512213,0.4090909090909091,2,5,24,22,68522,0,1,1,0,1,1.0277441549221047,-391.1220745932501,54,50,958,3,1,2,1,1,0,0.23437090608535804,0.7091778032246805,-0.9233247035725378,6,1,14.0,11.0
0,12,34350,9,3,0,19,29094,8,3,2,-7,5256,1,0,-2,0.54142235672404,0.3870967741935484,-5,4,44,31,63444,0,1,1,1,1,1.1242585196499153,204.78193740288847,52,17,759,1,1,1,2,1,0,0.5092050184087766,-0.1101079890034069,-0.11693227460703737,3,1,14.0,2.0
0,7,33738,6,3,1,6,35276,10,2,1,1,-1538,-4,1,0,0.48885733329469383,0.5384615384615384,-2,5,24,13,69014,1,0,0,1,2,0.38533507958551866,-57.819905587935786,22,42,140,3,3,1,1,1,2,-0.26279823380504497,0.8256978505463561,0.9989030382979618,6,0,14.0,9.0
0,8,27568,7,3,1,3,33498,11,4,2,5,-5930,-4,-1,-1,0.45144597648445944,0.7272727272727273,-9,3,34,11,61066,1,0,0,2,0,0.386745015771786,-193.89276473786526,26,-22,-91,1,2,1,1,2,1,0.33363856417044424,-0.6105333378645468,0.7117734689618374,5,0,14.0,21.0
0,7,34534,9,2,1,22,34272,8,3,1,-15,262,1,-1,0,0.5019039037293259,0.2413793103448276,-1,5,36,29,68806,1,0,0,0,0,1.307629029292132,9.810326736859908,70,-17,498,1,2,1,2,1,2,0.12192637717682242,-0.9756986619571126,0.4035827986779963,5,1,14.0,23.0
1,10,26309,11,3,0,16,28349,6,2,1,-6,-2040,5,1,-1,0.4813385048849208,0.38461538461538464,4,4,33,26,54658,1,0,0,1,0,0.7491668426352017,-67.31936641997504,-41,-46,-1761,3,3,0,3,2,2,0.1878202522668979,0.5001127735862982,-0.8017973495539186,5,0,14.0,17.0
0,16,34673,4,2,1,6,29350,10,3,1,10,5323,-6,-1,0,0.5415709979226215,0.7272727272727273,-8,3,26,22,64023,1,1,1,0,1,1.0276462714586958,203.68375722648412,-59,19,1349,1,3,2,2,3,2,0.2938777178228229,0.7047372934428633,-0.0021070253660602223,1,1,14.0,14.0
0,16,28713,6,3,1,16,35169,9,3,1,0,-6456,-3,0,0,0.4494693340847187,0.5,-3,3,30,32,63882,1,1,1,1,0,0.9973206533429192,-238.83503136135113,-18,-49,-1505,1,1,1,1,2,2,0.7864603258258902,-0.5868035606779496,0.8050727781565246,3,0,14.0,2.0
1,10,41321,10,3,1,15,23575,4,2,1,-5,17746,6,1,0,0.6367264546351085,0.4,8,3,44,25,64896,1,1,0,1,2,0.9768126612221508,518.3920937531935,45,0,216,3,2,1,2,3,0,0.8568678284771922,-0.9027200078292579,0.019248740786880214,4,0,14.0,5.0
1,4,37939,11,4,1,14,31006,4,2,1,-10,6933,7,2,0,0.5502792080643991,0.2222222222222222,11,5,32,18,68945,0,1,0,0,2,0.7716963177617013,261.72705538381024,-84,-32,-107,3,3,1,3,3,2,-0.32054162817175524,-0.11735891581392877,0.841599550438604,2,0,14.0,22.0
0,19,44588,9,3,1,16,31018,6,3,1,3,13570,3,0,0,0.58974155490305,0.5428571428571428,3,5,19,35,75606,0,1,1,1,2,1.2985550403605313,440.00409172096124,-21,-21,-1741,2,3,0,2,3,2,0.674286286028517,0.9336457196756083,0.6180783492046851,1,0,14.0,11.0
0,16,35683,5,3,0,23,33766,10,3,1,-7,1917,-5,0,-1,0.5138014946219528,0.41025641025641024,-8,4,19,39,69449,1,1,0,0,0,1.5175559386733246,63.4424301455584,-3,4,504,1,3,1,3,2,0,-0.04231198550600834,0.7776293147095119,0.43463306960909676,3,0,14.0,13.0
1,16,35954,6,2,1,14,25214,9,2,1,2,10740,-3,0,0,0.5877910018310227,0.5333333333333333,-3,3,39,30,61168,0,0,0,0,1,0.7745572139024575,311.189514028946,92,-13,304,1,1,1,1,3,0,0.6978504795999576,-0.7650586452941868,0.8580364199788444,4,1,14.0,1.0
0,15,22068,7,4,1,15,29420,7,3,0,0,-7352,0,1,1,0.4286047234307023,0.5,5,4,29,30,51488,1,1,1,2,0,1.033658336349243,-280.26286048183255,-35,21,1354,1,1,0,1,1,2,0.11412069126986601,0.10839270751948038,-0.860261964281188,4,0,14.0,17.0
1,21,37805,10,4,1,16,29036,9,4,0,5,8769,1,0,1,0.5655959665474783,0.5675675675675675,4,4,25,37,66841,0,0,0,2,2,1.6436379228494125,312.5972181242572,71,-35,-1861,1,2,1,1,2,1,0.4414825239238993,-0.33218862926945625,0.30056413378437874,5,0,14.0,6.0
1,21,32760,7,2,1,12,24524,4,3,0,9,8236,3,-1,1,0.5718874380280706,0.6363636363636364,4,3,22,33,57284,1,1,0,2,1,1.6176104219080931,298.53064417415595,-42,25,-1982,3,3,2,1,1,2,-0.6559212317608525,0.29879821979631593,0.11172215819208597,1,1,14.0,11.0
1,14,29567,10,3,1,15,25521,6,4,1,-1,4046,4,-1,0,0.5367230612837641,0.4827586206896552,2,5,41,29,55088,1,0,0,2,1,1.089217590447557,124.04286820091998,20,39,-1335,2,1,2,1,1,2,0.4328949187960842,-0.06729867700117742,-0.5380695675212914,3,0,14.0,16.0
1,14,34615,11,2,0,5,23276,9,3,1,9,11339,2,-1,-1,0.5979340484704013,0.7368421052631579,-3,4,31,19,57891,1,1,0,1,1,0.8699813192809647,434.0634734176087,-72,-37,1343,3,1,1,2,1,2,-0.053762550287513644,0.028725650654864543,-0.21511307120133694,1,0,14.0,9.0
1,16,27782,11,3,1,9,34088,9,2,1,7,-6306,2,1,0,0.4490383061257475,0.64,4,5,37,25,61870,0,0,0,2,2,1.1921592413758129,-206.85355669286855,16,15,-1720,2,2,1,1,3,0,-0.3056530547751646,0.18246273809413371,-0.9377075668762931,3,0,14.0,3.0
1,12,30969,9,4,1,7,34344,8,1,1,5,-3375,1,3,0,0.4741628772219926,0.631578947368421,7,3,40,19,65313,1,1,0,0,2,0.8673336879326604,-106.5133922536348,-81,9,-1678,1,3,1,1,1,2,-0.4207763714801904,-0.013426887677361998,-0.9457206149838884,2,1,14.0,2.0
1,11,29878,11,4,1,13,25689,7,4,1,-2,4189,4,0,0,0.5376932351935502,0.4583333333333333,4,4,44,24,55567,0,0,1,0,0,1.1283824423819857,123.169473692673,36,-45,1250,1,3,0,1,1,2,0.9976420467347713,0.03474057152866172,0.14486014821454263,4,1,14.0,3.0
0,10,27515,5,2,1,20,29555,7,4,1,-10,-2040,-2,-2,0,0.4821272121955493,0.3333333333333333,-6,4,27,30,57070,0,0,0,1,1,0.7994427396281589,-66.76390797384161,58,4,-434,2,2,1,2,3,0,0.3050722551200362,-0.0518625073606227,0.5996691248335939,6,0,14.0,16.0
1,17,37617,6,3,0,15,26990,5,1,1,2,10627,1,2,-1,0.5822434101567942,0.53125,2,4,45,32,64607,0,0,0,1,0,1.3026329095858598,401.8036270544241,-18,-16,570,3,1,0,3,1,1,0.7134632523507605,-0.2835394581189239,-0.682617859113192,5,0,14.0,10.0
0,9,26269,10,2,1,25,32748,11,4,1,-16,-6479,-1,-2,0,0.44510903637934834,0.2647058823529412,-5,5,19,34,59017,1,1,0,1,0,1.2038881689083536,-190.1304411830746,93,49,1969,1,2,0,3,2,1,-0.6282012050805386,-0.5303554345987915,0.952318156342105,4,0,14.0,4.0
1,13,34503,8,3,0,10,41061,7,3,1,3,-6558,1,0,-1,0.4566063204700651,0.5652173913043478,-2,3,25,23,75564,1,1,0,1,0,0.8023788680117855,-206.3446144972224,55,37,-1510,1,1,2,3,1,1,0.6834509076426205,0.09334843214595145,0.7947136617732857,3,1,14.0,5.0
1,20,30904,9,2,1,9,29970,9,2,0,11,934,0,0,1,0.5076715839274567,0.6896551724137931,3,4,41,29,60874,0,0,1,2,2,1.3445915640603783,29.03093474742502,22,-31,-906,2,3,2,2,3,2,-0.19166814161386214,0.28556001346310533,0.7074685864780794,2,0,14.0,12.0
1,12,29687,11,2,1,18,30823,4,2,1,-6,-1136,7,0,0,0.4906131217980499,0.4,7,3,38,30,60510,0,1,0,0,2,0.7795583974618873,-44.30501342226992,-70,50,953,2,1,1,1,2,0,-0.4359384335091112,-0.26679103119146874,0.15429935761104008,3,0,14.0,23.0
0,11,31032,9,2,1,10,27652,11,3,1,1,3380,-2,-1,0,0.5287983095903483,0.5238095238095238,-4,5,24,21,58684,1,0,0,1,0,0.7386743934668537,126.24353157164283,-16,15,-1707,3,1,2,2,3,0,0.1352451558339598,-0.25087480268522344,-0.6409374078625372,2,0,14.0,17.0
0,8,33076,8,3,1,9,40652,7,4,1,-1,-7576,1,-1,0,0.4486219618055556,0.47058823529411764,-1,4,43,17,73728,1,0,1,2,1,0.4899626752323553,-249.0888000088173,-14,-9,92,2,3,0,3,1,1,-0.4080245887771361,-0.1292869458613355,-0.8905686346555575,1,0,14.0,9.0
0,18,23668,10,1,1,10,36204,8,2,1,8,-12536,2,-1,0,0.39530999465526456,0.6428571428571429,0,4,20,28,59872,1,1,0,1,2,0.7278212253715838,-380.71482878517594,-16,36,-1665,3,1,2,1,3,0,-0.5996549001718277,-0.13975169458189063,-0.3250691405522881,6,0,14.0,13.0
1,22,35964,6,4,1,12,27739,6,2,1,10,8225,0,2,0,0.5645573991805724,0.6470588235294118,4,5,43,34,63703,1,1,0,0,1,0.9497750710406186,295.5096504839485,-71,26,152,1,1,1,2,1,0,0.69729442583328,0.5164936354362817,0.9541623301198658,3,0,14.0,3.0
1,14,29727,10,3,1,7,33503,7,2,1,7,-3776,3,1,0,0.4701407559702673,0.6666666666666666,5,5,35,21,63230,0,0,0,0,2,0.7538111929527962,-131.61956283034274,-94,7,1869,2,3,1,1,2,1,-0.6679885461547006,0.4722144101128736,0.6162061821527791,4,0,14.0,15.0
0,8,30819,6,2,1,14,33418,11,4,0,-6,-2599,-5,-2,1,0.4797702258822797,0.36363636363636365,-6,4,43,22,64237,0,1,0,1,0,0.6046012950616099,-91.37579795074404,-82,2,-1928,1,2,0,1,3,2,-0.16197220786916167,-0.6916420782118573,-0.7435978025743901,4,0,14.0,23.0
1,15,36781,11,4,1,11,26049,6,3,0,4,10732,5,1,1,0.5854050612764603,0.5769230769230769,10,3,45,26,62830,0,1,1,0,0,0.7048395618962904,396.47256289157156,-10,-41,-451,1,3,1,1,1,0,-0.4958224688699966,0.8524285803363578,0.9528227065817276,6,0,14.0,20.0
1,15,28272,11,4,1,14,33690,6,3,0,1,-5418,5,1,1,0.4562796552725864,0.5172413793103449,10,3,27,29,61962,0,0,1,1,1,0.9128294781979165,-169.0674740865918,88,47,1686,1,2,2,3,3,1,-0.8346177323793047,-0.49682160203701686,0.0983268898252101,2,1,14.0,12.0
1,14,39050,8,2,1,8,32414,9,3,1,6,6636,-1,-1,0,0.5464289712302698,0.6363636363636364,-3,4,29,22,71464,1,1,0,1,1,0.9954765106482477,208.23121979861807,-50,27,-1325,2,1,2,2,1,1,-0.8601184585844013,0.13430693030349472,0.7673331947715354,1,1,14.0,19.0
0,12,26334,8,2,1,21,38760,10,3,2,-9,-12426,-2,-1,-1,0.404553415061296,0.36363636363636365,-7,3,28,33,65094,0,0,0,1,1,1.2110192186699789,-454.0905808003681,17,-36,144,1,1,1,3,2,2,0.42843567544545214,0.9817678588111818,-0.22603595439148272,2,0,14.0,15.0
0,9,28703,8,4,1,15,32659,9,4,1,-6,-3956,-1,0,0,0.46776506632769466,0.375,-1,5,20,24,61362,1,1,0,2,0,0.7155901702297932,-125.40214079913855,15,-49,-1217,2,3,1,1,1,0,0.6380908331560566,-0.40351358395241044,-0.31266934577204397,6,1,14.0,8.0
0,11,32644,7,4,1,15,35725,8,3,1,-4,-3081,-1,1,0,0.47746785823984556,0.4230769230769231,1,4,30,26,68369,1,0,0,1,2,1.1982281393962415,-122.33461024437233,83,17,-118,3,3,2,1,3,0,-0.1801594397773041,-0.4038348045033453,-0.6201606538491071,2,1,14.0,3.0
1,20,33044,10,3,1,10,34395,9,3,1,10,-1351,1,0,0,0.4899835406812082,0.6666666666666666,1,4,24,30,67439,1,1,1,2,1,0.758187027202409,-42.23153262944399,98,10,1298,3,2,0,3,3,0,0.9281404135665254,-0.9300757499716028,0.47450409368336666,4,0,14.0,12.0
1,15,39182,11,4,2,8,30297,6,4,0,7,8885,5,0,2,0.5639401833647577,0.6521739130434783,11,4,38,23,69479,0,0,0,1,0,0.7162357231109622,278.0228731235653,85,26,891,3,2,2,1,1,0,-0.40220499667421095,0.847188277305833,-0.5239902297812491,1,0,14.0,7.0
1,23,25352,6,3,1,16,29563,6,2,1,7,-4211,0,1,0,0.461658927433306,0.5897435897435898,2,3,32,39,54915,0,1,1,0,0,1.5158750886505772,-140.8986378223377,98,-28,528,3,1,0,3,1,1,0.15276341467719856,-0.6785333071714066,0.33532778522647044,6,0,14.0,11.0
1,8,36548,9,3,1,12,25411,5,4,1,-4,11137,4,-1,0,0.5898739489016931,0.4,2,5,30,20,61959,1,1,1,2,1,0.5638711199523894,374.02625968572744,86,-7,1724,3,3,0,2,2,2,0.068208916868852,-0.06121763503308575,-0.08677116309744659,1,0,14.0,2.0
1,9,42640,9,3,1,7,26950,6,3,1,2,15690,3,0,0,0.6127317143267711,0.5625,3,3,21,16,69590,0,0,1,2,1,0.4958423067162272,580.7516565320391,89,-12,-321,2,1,2,3,3,1,-0.006664826272024582,-0.3765374238914869,-0.7435883890800221,2,1,14.0,1.0
0,2,29517,6,3,1,10,37672,9,3,2,-8,-8155,-3,0,-1,0.4393129827799193,0.16666666666666666,-6,4,24,12,67189,0,0,0,1,0,0.541855589990895,-283.2670536686869,48,28,110,1,3,0,1,1,1,0.7224557566344434,-0.7292198557392309,-0.7122387840584417,1,0,14.0,3.0
1,17,35106,8,2,1,15,35770,5,2,1,2,-664,3,0,0,0.495315762740561,0.53125,3,5,43,32,70876,1,0,1,1,2,1.028137089462984,-20.868098039184865,-86,16,-1670,3,3,1,3,1,2,0.062158029389171254,0.17960141496264348,-0.38857871909302033,4,1,14.0,8.0
1,20,29272,10,4,1,18,25960,7,2,1,2,3312,3,2,0,0.5299826187717266,0.5263157894736842,7,5,30,38,55232,0,1,0,2,0,1.5094448223757304,105.53691151465938,-59,-46,1834,1,2,0,2,2,1,-0.28596377529831996,-0.42266964965989695,-0.9091990196645672,5,0,14.0,11.0
1,13,30218,9,4,1,14,24041,5,2,1,-1,6177,4,2,0,0.5569214323890967,0.48148148148148145,8,4,27,27,54259,0,1,0,2,0,0.8605014491001467,212.85229919625377,-13,-10,-1507,1,2,2,3,1,1,-0.7562738304097252,0.5398526560521117,-0.8080496892168638,4,1,14.0,17.0
